Distance_km,Bed_Elevation_m,Latitude,Longitude
7.735298906790609941e+00,-7.850099180795118627e+02,7.289045005328436844e+01,-5.493546015696597351e+01
7.770459375002262803e+00,-7.858045641881471965e+02,7.289045144864965664e+01,-5.493653045604158081e+01
7.805619843342310737e+00,-7.865996135102443532e+02,7.289045283812943410e+01,-5.493760075529390718e+01
7.840780311810473968e+00,-7.873854198711566141e+02,7.289045422172372923e+01,-5.493867105472221368e+01
7.875940780405538355e+00,-7.881646907684284997e+02,7.289045559943251362e+01,-5.493974135432573291e+01
7.911101249127928448e+00,-7.889461316663584967e+02,7.289045697125581569e+01,-5.494081165410374723e+01
7.946261717976435435e+00,-7.897297425649445586e+02,7.289045833719363543e+01,-5.494188195405548925e+01
7.981422186950753783e+00,-7.905118158524878709e+02,7.289045969724593022e+01,-5.494295225418022000e+01
8.016582656050383449e+00,-7.912788691667483363e+02,7.289046105141274268e+01,-5.494402255447719341e+01
8.051743125274574808e+00,-7.920502739698874848e+02,7.289046239969404439e+01,-5.494509285494565631e+01
8.086903594622572911e+00,-7.928260302619005415e+02,7.289046374208983536e+01,-5.494616315558485553e+01
8.122064064094574931e+00,-7.936061380427911445e+02,7.289046507860012980e+01,-5.494723345639406631e+01
8.157224533689364065e+00,-7.943525300089811481e+02,7.289046640922492770e+01,-5.494830375737252126e+01
8.192385003406885247e+00,-7.950961959924018174e+02,7.289046773396420065e+01,-5.494937405851948853e+01
8.227545473246163255e+00,-7.958471370494892199e+02,7.289046905281797706e+01,-5.495044435983420783e+01
8.262705943206910320e+00,-7.966053531802473344e+02,7.289047036578622851e+01,-5.495151466131594020e+01
8.297866413288383924e+00,-7.973391778674010766e+02,7.289047167286896922e+01,-5.495258496296393247e+01
8.333026883490306957e+00,-7.980103758618929533e+02,7.289047297406621340e+01,-5.495365526477744567e+01
8.368187353811915585e+00,-7.986774634242113962e+02,7.289047426937793261e+01,-5.495472556675572662e+01
8.403347824252945131e+00,-7.993510713273077499e+02,7.289047555880414109e+01,-5.495579586889803636e+01
8.438508294812638866e+00,-8.000262251488427410e+02,7.289047684234482460e+01,-5.495686617120362172e+01
8.473668765490245391e+00,-8.006251047480084253e+02,7.289047811999998316e+01,-5.495793647367172952e+01
8.508829236285501807e+00,-8.012321198393140094e+02,7.289047939176964519e+01,-5.495900677630162079e+01
8.543989707198097250e+00,-8.018472704227589247e+02,7.289048065765375384e+01,-5.496007707909255657e+01
8.579150178226845114e+00,-8.024705564983423756e+02,7.289048191765236595e+01,-5.496114738204376948e+01
8.614310649371914153e+00,-8.030159767511697737e+02,7.289048317176543890e+01,-5.496221768515453476e+01
8.649471120632099996e+00,-8.035305242998457516e+02,7.289048441999300110e+01,-5.496328798842408503e+01
8.684631592007349354e+00,-8.040536817770114340e+02,7.289048566233502413e+01,-5.496435829185168842e+01
